mac, ip
7c:fa:df:82:6c:ad
a8:16:b2:5a:44:37
c0:9f:42:2b:47:40
4c:eb:42:5e:14:83
e4:98:d6:0e:b3:c4
84:fc:fe:ab:9f:84
0c:3e:9f:55:79:99
70:11:24:06:3f:e9
ac:cf:5c:8d:fc:8c
28:6a:ba:03:d4:fb
0c:30:21:7f:c7:fe
18:af:61:3e:6e:7d
9c:20:7b:4e:e8:6f
0c:84:dc:02:a4:83
18:af:61:ee:36:30
74:46:a0:6b:62:72
0c:84:dc:18:c7:5f
00:22:fb:bb:2c:06
1c:99:4c:74:0a:4f
bc:52:b7:6f:08:67
8c:2d:aa:17:15:0c
00:0b:86:c1:47:b6
88:1f:a1:00:dc:42
40:0e:85:59:ca:82
00:26:ab:2a:9b:2d
04:db:56:22:18:23
bc:92:6b:2e:13:ef
90:18:7c:43:13:e9
90:b9:31:ce:59:84
d0:e1:40:b9:ea:47
60:21:c0:50:c3:ed
84:7a:88:29:29:28
f8:1e:df:e6:43:db
30:10:e4:94:71:e2
18:e7:f4:d5:ab:3e
9c:04:eb:7b:c5:16
8c:29:37:17:32:73
54:ea:a8:d7:d9:09
40:b3:95:71:30:2a
88:cb:87:55:e4:d8
6c:88:14:74:11:a0
60:fa:cd:71:f4:6f
40:25:c2:cf:d0:e4
fc:25:3f:8c:34:50
18:87:96:3a:5e:14
a8:88:08:b0:55:a7
00:27:10:eb:63:38
18:9e:fc:42:78:c5
98:d6:bb:7e:08:8b
e0:c9:7a:cf:36:b9
00:bb:3a:eb:59:c9
00:37:6d:53:23:5a
b0:65:bd:6c:d8:2a
00:26:4d:7f:16:50
ac:fd:ec:5f:68:61
00:20:00:66:b1:9e
e4:98:d6:26:07:18
00:20:00:84:d9:59
28:cf:e9:16:5d:29
2c:59:e5:ab:ef:28
54:26:96:12:bf:b8
90:72:40:c1:8f:60
cc:3a:61:d0:c5:09
a8:88:08:00:18:36
70:11:24:a8:fc:70
8c:2d:aa:0a:68:55
b8:17:c2:0d:a8:a9
64:20:0c:05:e2:37
08:3e:8e:4e:46:9d
00:17:c4:b7:c3:73
dc:9b:9c:5b:65:28
dc:9b:9c:66:61:51
a4:c3:61:2b:05:4c
40:0e:85:fb:7c:62
34:23:ba:aa:9a:8a
bc:52:b7:08:ce:ae
8c:2d:aa:7f:b3:cb
4c:8d:79:b3:14:66
cc:3a:61:31:88:fd
a8:88:08:0c:92:a1
1a:4b:d6:cd:3f:09
e0:06:e6:8d:a0:60
ec:85:2f:cc:db:f4
14:10:9f:e4:e5:b7
38:aa:3c:23:91:be
54:ea:a8:48:72:1c
bc:3b:af:df:1c:16
10:1c:0c:31:2d:f9
bc:52:b7:a4:a9:76
ec:35:86:b2:f1:ca
f0:cb:a1:40:b5:08
e0:c9:7a:01:12:6d
dc:86:d8:e0:f1:1a
24:fd:52:81:ee:57
5c:96:9d:59:64:62
cc:78:5f:55:96:07
00:20:00:a8:51:7b
bc:52:b7:d4:b7:14
f0:cb:a1:4e:b6:9f
84:7a:88:29:7c:62
80:96:b1:b7:1d:ad
78:6c:1c:aa:0f:95
f4:f5:a5:d7:e3:12
20:c9:d0:e8:f3:d2
b0:79:94:6b:62:c6
8c:2d:aa:10:d1:37
88:53:95:8a:30:c7
68:a8:6d:2e:1f:10
98:fe:94:13:9c:51
1c:e6:2b:37:5f:a9
68:5d:43:4d:d3:6b
00:aa:70:7c:ce:19
84:38:35:60:d0:64
f0:dc:e2:31:7b:2a
90:27:e4:0f:34:01
00:1a:1e:c7:64:7a
98:0c:82:bf:4e:78
b0:9f:ba:1c:ea:b9
40:f4:07:48:05:8f
c0:63:94:5c:53:04
d4:20:6d:71:87:c2
60:fa:cd:df:e2:6b
54:ea:a8:3e:46:9f
88:53:2e:f4:40:ed
44:6d:57:63:b1:fb
1c:62:b8:a8:b8:e7
24:77:03:ee:9a:c0
30:f7:c5:af:ae:d7
00:6b:9e:37:30:63
a8:fa:d8:14:76:05
00:1e:52:84:ca:bc
e0:cb:1d:f2:8d:34
b0:65:bd:f3:63:c6
28:cf:e9:5f:a7:ef
68:9c:70:8d:5a:48
64:20:0c:49:3c:5f
34:23:ba:82:1c:90
68:a8:6d:3e:1b:76
64:a3:cb:59:e9:cb
60:45:bd:d1:35:ea
a8:fa:d8:e9:b1:69
bc:52:b7:cd:fb:9a
20:7c:8f:02:4e:2b
1c:e6:2b:1b:5c:da
90:21:55:68:af:60
00:50:56:85:71:16
84:38:35:95:21:a0
b0:9f:ba:14:6f:90
10:ae:60:f3:1a:0d
78:a3:e4:34:79:0a
e0:ca:94:f6:64:25
54:26:96:11:57:bd
60:be:b5:e6:96:6c
18:34:51:9d:82:59
94:39:e5:ac:38:57
2c:44:01:c4:82:fc
38:aa:3c:cc:79:ef
b8:e8:56:94:18:ee
04:db:56:1c:51:50
b8:78:2e:3a:a9:ed
a8:88:08:31:b7:42
78:a3:e4:1a:24:f5
0c:3e:9f:39:b9:f2
c0:9f:42:04:c7:12
f0:dc:e2:10:3d:bc
1c:65:9d:9a:b6:dd
fc:25:3f:73:c5:25
dc:9b:9c:19:7e:f6
60:fa:cd:ea:da:b3
c8:b5:b7:25:96:18
f4:b7:e2:15:e0:7b
40:b3:95:d9:17:80
1c:3e:84:60:80:6d
8c:58:77:ac:27:ac
74:e5:0b:26:af:ea
04:e5:36:11:a6:2e
10:40:f3:0c:b4:49
40:25:c2:bf:67:9d
64:80:99:63:c3:c4
c8:33:4b:0d:07:3d
78:a3:e4:72:2c:89
9c:b7:0d:6b:47:30
f4:f1:5a:a4:b1:98
68:a8:6d:0e:85:ae
00:88:65:e0:09:52
54:ea:a8:d5:cd:bb
e4:98:d6:23:5b:e2
b8:e8:56:b5:5b:25
78:dd:08:e2:fe:61
54:ea:a8:bd:2f:4d
08:70:45:11:28:42
c0:63:94:58:40:b7
70:1a:04:5d:e9:95
64:a3:cb:e4:d1:0e
2c:d0:5a:59:7a:21
e0:c9:7a:e5:5e:14
dc:9b:9c:1a:9e:88
b8:e8:56:52:f9:e4
ac:72:89:f4:4d:31
e4:98:d6:2d:e8:d3
68:5d:43:71:09:53
88:1f:a1:13:2d:4c
10:40:f3:72:d7:7b
24:a2:e1:19:29:b3
68:09:27:57:68:38
88:53:95:c3:e5:18
2c:b4:3a:7d:83:bf
9c:04:eb:33:c3:cf
d4:9a:20:58:50:bd
78:6c:1c:17:7e:a6
a8:bb:cf:10:87:fc
0c:3e:9f:49:a3:ce
14:5a:05:eb:e8:dc
7c:d1:c3:85:08:b8
10:40:f3:60:57:1f
30:f7:c5:bc:aa:25
d0:e1:40:b6:64:47
9c:b7:0d:b9:d5:c0
98:fe:94:ef:51:71
54:26:96:d0:68:79
c8:bc:c8:d2:c3:84
38:48:4c:d4:0d:2a
30:f7:c5:39:6a:b0
bc:52:b7:6d:db:59
68:9c:70:b3:2b:51
e8:99:c4:b4:d6:70
00:23:14:34:be:b0
bc:b1:f3:bc:f7:c0
f8:27:93:7d:36:e5
98:fe:94:18:86:ad
ac:7f:3e:27:9f:c7
cc:3a:61:1d:ca:d7
a4:c3:61:2a:91:6b
3c:d0:f8:8f:38:c2
88:53:2e:ed:67:af
c0:18:85:25:58:7f
44:6d:57:43:83:4b
80:96:b1:aa:9f:3f
a4:c3:61:e1:f6:8a
bc:52:b7:a7:0e:48
e4:98:d6:35:fe:ab
e4:8b:7f:49:1e:72
00:26:08:fe:fc:b4
10:40:f3:6a:84:73
90:72:40:df:30:e1
6c:3e:6d:80:66:b6
64:a3:cb:3f:3a:f8
10:40:f3:44:1e:88
20:c9:d0:b3:a7:47
f0:27:65:f1:34:d4
1c:e6:2b:83:33:1e
10:9a:dd:ba:8d:ad
4c:8d:79:5d:70:d9
0c:3e:9f:67:21:9b
a8:88:08:8d:63:08
74:de:2b:1f:4a:40
88:1f:a1:60:9f:db
7c:d1:c3:6e:d0:2c
ec:85:2f:c4:45:8b
38:0f:4a:14:67:43
80:96:b1:4a:f3:64
54:26:96:db:19:09
a8:88:08:00:cd:6d
00:23:14:93:07:dc
8c:58:77:67:9f:43
e0:f8:47:08:2d:bc
0c:84:dc:a1:33:16
a0:88:b4:b2:f3:b4
18:1e:b0:68:13:69
68:9c:70:7b:2c:ce
70:11:24:17:a9:15
5c:0a:5b:f9:87:f3
a4:ee:57:32:9d:b7
80:96:b1:ad:85:49
0c:30:21:4e:85:da
b8:8d:12:2f:ce:cc
e4:25:e7:f3:6d:63
b0:9f:ba:3e:95:41
00:88:65:d2:d9:ce
ec:35:86:9d:86:8d
84:38:35:9e:11:b3
e4:98:d6:23:cb:de
70:1a:04:69:00:37
